时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-08 09:30:00,6.4,6.4,6.4,6.4,980,627200.0,6.4
2024-11-08 09:31:00,6.42,6.39,6.43,6.39,1882,1205910.0,6.405
2024-11-08 09:32:00,6.39,6.36,6.39,6.35,1252,797338.0,6.394
2024-11-08 09:33:00,6.36,6.33,6.36,6.31,2764,1751852.0,6.372
2024-11-08 09:34:00,6.33,6.35,6.36,6.32,2816,1784455.0,6.361
2024-11-08 09:35:00,6.35,6.33,6.36,6.33,3429,2176015.0,6.357
2024-11-08 09:36:00,6.33,6.31,6.33,6.3,1374,867187.0,6.353
2024-11-08 09:37:00,6.31,6.31,6.33,6.31,1277,806882.0,6.35
2024-11-08 09:38:00,6.32,6.33,6.35,6.32,622,393468.0,6.349
2024-11-08 09:39:00,6.32,6.31,6.32,6.31,1082,683330.0,6.347
2024-11-08 09:40:00,6.31,6.3,6.33,6.3,463,292296.0,6.346
2024-11-08 09:41:00,6.3,6.29,6.3,6.28,1963,1235129.0,6.341
2024-11-08 09:42:00,6.28,6.27,6.29,6.27,369,231683.0,6.34
2024-11-08 09:43:00,6.28,6.27,6.28,6.26,1883,1180471.0,6.334
2024-11-08 09:44:00,6.26,6.26,6.28,6.26,850,532877.0,6.331
2024-11-08 09:45:00,6.26,6.27,6.27,6.26,721,452046.0,6.33
2024-11-08 09:46:00,6.27,6.29,6.29,6.26,1580,992115.0,6.326
2024-11-08 09:47:00,6.29,6.28,6.3,6.27,1670,1049595.0,6.324
2024-11-08 09:48:00,6.29,6.28,6.29,6.27,1575,988964.0,6.321
2024-11-08 09:49:00,6.27,6.27,6.27,6.26,1072,672087.0,6.32
2024-11-08 09:50:00,6.27,6.27,6.29,6.27,453,284380.0,6.319
2024-11-08 09:51:00,6.29,6.28,6.29,6.28,535,336107.0,6.318
2024-11-08 09:52:00,6.29,6.3,6.3,6.29,267,168102.0,6.318
2024-11-08 09:53:00,6.3,6.28,6.3,6.28,579,364354.0,6.318
2024-11-08 09:54:00,6.29,6.28,6.29,6.28,159,100005.0,6.317
2024-11-08 09:55:00,6.28,6.28,6.29,6.28,201,126238.0,6.317
2024-11-08 09:56:00,6.28,6.27,6.28,6.27,2133,1339439.0,6.315
2024-11-08 09:57:00,6.28,6.28,6.29,6.28,502,315220.0,6.314
2024-11-08 09:58:00,6.28,6.27,6.28,6.27,392,246133.0,6.314
2024-11-08 09:59:00,6.27,6.26,6.27,6.26,1530,959296.0,6.312
2024-11-08 10:00:00,6.26,6.26,6.26,6.25,2332,1459220.0,6.309
2024-11-08 10:01:00,6.25,6.27,6.27,6.25,361,225865.0,6.308
2024-11-08 10:02:00,6.27,6.26,6.27,6.26,1137,712723.0,6.307
2024-11-08 10:03:00,6.27,6.26,6.27,6.26,377,236028.0,6.307
2024-11-08 10:04:00,6.26,6.26,6.27,6.26,81,50758.0,6.307
2024-11-08 10:05:00,6.27,6.26,6.27,6.26,106,66371.0,6.307
2024-11-08 10:06:00,6.28,6.27,6.28,6.27,1078,675951.0,6.306
2024-11-08 10:07:00,6.27,6.26,6.28,6.26,573,359258.0,6.305
2024-11-08 10:08:00,6.27,6.27,6.27,6.26,445,279012.0,6.305
2024-11-08 10:09:00,6.27,6.27,6.28,6.27,494,309789.0,6.304
2024-11-08 10:10:00,6.27,6.28,6.28,6.27,483,303276.0,6.304
2024-11-08 10:11:00,6.28,6.27,6.28,6.27,386,242544.0,6.304
2024-11-08 10:12:00,6.28,6.27,6.28,6.27,811,509222.0,6.304
2024-11-08 10:13:00,6.27,6.27,6.28,6.27,764,479131.0,6.303
2024-11-08 10:14:00,6.27,6.26,6.27,6.26,890,557976.0,6.302
2024-11-08 10:15:00,6.26,6.25,6.26,6.24,2841,1776601.0,6.3
2024-11-08 10:16:00,6.25,6.24,6.26,6.24,825,515754.0,6.299
2024-11-08 10:17:00,6.25,6.25,6.26,6.25,844,527682.0,6.298
2024-11-08 10:18:00,6.26,6.26,6.26,6.25,91,56942.0,6.298
2024-11-08 10:19:00,6.26,6.26,6.26,6.25,583,364560.0,6.297
2024-11-08 10:20:00,6.26,6.26,6.27,6.26,294,184120.0,6.297
2024-11-08 10:21:00,6.26,6.25,6.27,6.25,563,352181.0,6.297
2024-11-08 10:22:00,6.25,6.25,6.27,6.25,582,364265.0,6.296
2024-11-08 10:23:00,6.25,6.26,6.26,6.25,154,96390.0,6.296
2024-11-08 10:24:00,6.26,6.25,6.26,6.25,221,138242.0,6.296
2024-11-08 10:25:00,6.25,6.25,6.26,6.25,175,109533.0,6.296
2024-11-08 10:26:00,6.25,6.26,6.26,6.25,239,149597.0,6.296
2024-11-08 10:27:00,6.26,6.26,6.26,6.25,726,454275.0,6.295
2024-11-08 10:28:00,6.26,6.26,6.26,6.25,135,84482.0,6.295
2024-11-08 10:29:00,6.26,6.25,6.26,6.25,96,60044.0,6.295
2024-11-08 10:30:00,6.26,6.24,6.26,6.24,1513,945296.0,6.294
2024-11-08 10:31:00,6.24,6.24,6.25,6.24,557,347670.0,6.293
2024-11-08 10:32:00,6.25,6.24,6.25,6.24,192,119864.0,6.293
2024-11-08 10:33:00,6.25,6.25,6.26,6.25,810,506194.0,6.293
2024-11-08 10:34:00,6.25,6.25,6.26,6.25,302,189024.0,6.292
2024-11-08 10:35:00,6.25,6.26,6.26,6.25,149,93263.0,6.292
2024-11-08 10:36:00,6.26,6.24,6.26,6.24,758,473741.0,6.292
2024-11-08 10:37:00,6.24,6.24,6.24,6.24,156,97344.0,6.292
2024-11-08 10:38:00,6.24,6.23,6.24,6.23,1684,1050805.0,6.29
2024-11-08 10:39:00,6.23,6.23,6.24,6.23,583,363214.0,6.29
2024-11-08 10:40:00,6.23,6.22,6.23,6.22,375,233494.0,6.289
2024-11-08 10:41:00,6.23,6.23,6.24,6.22,186,115878.0,6.289
2024-11-08 10:42:00,6.23,6.23,6.24,6.23,754,469746.0,6.288
2024-11-08 10:43:00,6.23,6.22,6.23,6.22,458,284912.0,6.288
2024-11-08 10:44:00,6.22,6.2,6.22,6.2,2637,1638586.0,6.285
2024-11-08 10:45:00,6.21,6.2,6.21,6.2,163,101186.0,6.285
2024-11-08 10:46:00,6.2,6.2,6.21,6.2,465,288453.0,6.284
2024-11-08 10:47:00,6.21,6.22,6.22,6.21,608,377560.0,6.284
2024-11-08 10:48:00,6.22,6.21,6.22,6.21,584,363238.0,6.283
2024-11-08 10:49:00,6.21,6.21,6.21,6.21,188,116768.0,6.283
2024-11-08 10:50:00,6.21,6.21,6.22,6.21,128,79569.0,6.283
2024-11-08 10:51:00,6.21,6.21,6.22,6.21,85,52791.0,6.283
2024-11-08 10:52:00,6.21,6.21,6.22,6.21,273,169542.0,6.282
2024-11-08 10:53:00,6.22,6.22,6.23,6.22,830,516278.0,6.282
