时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-08 09:30:00,4.29,4.29,4.29,4.29,1644,705276.0,4.29
2024-11-08 09:31:00,4.28,4.31,4.34,4.28,7378,3183527.0,4.31
2024-11-08 09:32:00,4.33,4.31,4.33,4.29,2729,1175645.0,4.31
2024-11-08 09:33:00,4.3,4.29,4.3,4.27,2848,1221420.0,4.306
2024-11-08 09:34:00,4.3,4.28,4.3,4.26,2986,1279745.0,4.302
2024-11-08 09:35:00,4.28,4.27,4.28,4.26,6572,2801980.0,4.292
2024-11-08 09:36:00,4.28,4.25,4.28,4.25,6160,2623574.0,4.285
2024-11-08 09:37:00,4.25,4.25,4.27,4.23,3154,1339149.0,4.281
2024-11-08 09:38:00,4.25,4.26,4.27,4.25,894,380750.0,4.281
2024-11-08 09:39:00,4.26,4.27,4.27,4.26,2424,1033461.0,4.28
2024-11-08 09:40:00,4.26,4.26,4.27,4.26,720,307252.0,4.279
2024-11-08 09:41:00,4.26,4.26,4.26,4.25,1054,448884.0,4.279
2024-11-08 09:42:00,4.26,4.26,4.27,4.25,1134,483417.0,4.278
2024-11-08 09:43:00,4.26,4.25,4.26,4.25,1683,716677.0,4.278
2024-11-08 09:44:00,4.25,4.24,4.25,4.22,4651,1974307.0,4.274
2024-11-08 09:45:00,4.24,4.24,4.25,4.23,974,413133.0,4.274
2024-11-08 09:46:00,4.24,4.28,4.28,4.24,2743,1172398.0,4.274
2024-11-08 09:47:00,4.27,4.27,4.28,4.27,702,299915.0,4.274
2024-11-08 09:48:00,4.27,4.27,4.27,4.26,350,149378.0,4.274
2024-11-08 09:49:00,4.26,4.25,4.26,4.25,1179,501896.0,4.273
2024-11-08 09:50:00,4.25,4.26,4.26,4.25,460,195672.0,4.273
2024-11-08 09:51:00,4.25,4.26,4.26,4.25,1086,461823.0,4.273
2024-11-08 09:52:00,4.26,4.26,4.27,4.26,884,376598.0,4.272
2024-11-08 09:53:00,4.26,4.26,4.27,4.26,619,263742.0,4.272
2024-11-08 09:54:00,4.27,4.27,4.28,4.26,1413,603238.0,4.272
2024-11-08 09:55:00,4.27,4.27,4.27,4.26,783,334099.0,4.272
2024-11-08 09:56:00,4.26,4.26,4.27,4.25,2417,1028628.0,4.272
2024-11-08 09:57:00,4.25,4.26,4.26,4.25,404,171875.0,4.271
2024-11-08 09:58:00,4.26,4.26,4.26,4.25,793,337760.0,4.271
2024-11-08 09:59:00,4.25,4.25,4.26,4.24,2155,915684.0,4.271
2024-11-08 10:00:00,4.24,4.24,4.25,4.24,787,333819.0,4.27
2024-11-08 10:01:00,4.24,4.24,4.25,4.24,898,380813.0,4.27
2024-11-08 10:02:00,4.25,4.25,4.26,4.24,2008,853642.0,4.269
2024-11-08 10:03:00,4.26,4.27,4.27,4.26,752,320576.0,4.269
2024-11-08 10:04:00,4.26,4.26,4.27,4.26,690,294007.0,4.269
2024-11-08 10:05:00,4.26,4.26,4.27,4.26,868,369808.0,4.269
2024-11-08 10:06:00,4.26,4.28,4.28,4.26,2649,1131172.0,4.269
2024-11-08 10:07:00,4.28,4.27,4.28,4.27,1501,641254.0,4.269
2024-11-08 10:08:00,4.27,4.27,4.28,4.27,555,236987.0,4.269
2024-11-08 10:09:00,4.27,4.28,4.28,4.27,557,237997.0,4.269
2024-11-08 10:10:00,4.27,4.27,4.28,4.27,366,156310.0,4.269
2024-11-08 10:11:00,4.27,4.26,4.28,4.26,1008,430300.0,4.269
2024-11-08 10:12:00,4.26,4.26,4.27,4.26,387,164866.0,4.269
2024-11-08 10:13:00,4.27,4.26,4.27,4.26,2605,1110967.0,4.269
2024-11-08 10:14:00,4.26,4.25,4.26,4.25,820,349122.0,4.269
2024-11-08 10:15:00,4.25,4.25,4.26,4.25,747,317525.0,4.269
2024-11-08 10:16:00,4.25,4.25,4.25,4.25,881,374428.0,4.268
2024-11-08 10:17:00,4.26,4.25,4.26,4.25,280,119066.0,4.268
2024-11-08 10:18:00,4.25,4.25,4.26,4.25,671,285235.0,4.268
2024-11-08 10:19:00,4.25,4.26,4.26,4.25,183,77833.0,4.268
2024-11-08 10:20:00,4.26,4.26,4.26,4.25,789,335384.0,4.268
2024-11-08 10:21:00,4.25,4.24,4.25,4.24,2181,925835.0,4.267
2024-11-08 10:22:00,4.24,4.25,4.25,4.24,734,311834.0,4.267
2024-11-08 10:23:00,4.24,4.25,4.25,4.24,750,318655.0,4.267
2024-11-08 10:24:00,4.24,4.24,4.25,4.24,653,276882.0,4.267
2024-11-08 10:25:00,4.24,4.24,4.25,4.24,628,266355.0,4.267
2024-11-08 10:26:00,4.24,4.25,4.25,4.24,159,67430.0,4.267
2024-11-08 10:27:00,4.25,4.23,4.25,4.23,2370,1004659.0,4.266
2024-11-08 10:28:00,4.23,4.23,4.24,4.23,1103,466848.0,4.266
2024-11-08 10:29:00,4.23,4.23,4.24,4.23,713,302017.0,4.265
2024-11-08 10:30:00,4.23,4.22,4.24,4.22,3101,1311660.0,4.264
2024-11-08 10:31:00,4.22,4.23,4.24,4.22,2342,990244.0,4.263
2024-11-08 10:32:00,4.23,4.24,4.24,4.23,442,187099.0,4.263
2024-11-08 10:33:00,4.24,4.23,4.24,4.23,1051,444709.0,4.263
2024-11-08 10:34:00,4.24,4.24,4.24,4.23,242,102594.0,4.263
2024-11-08 10:35:00,4.24,4.23,4.24,4.23,650,274967.0,4.263
2024-11-08 10:36:00,4.23,4.23,4.24,4.23,144,60929.0,4.263
2024-11-08 10:37:00,4.23,4.22,4.23,4.22,2827,1194937.0,4.262
2024-11-08 10:38:00,4.22,4.22,4.23,4.22,317,133833.0,4.261
2024-11-08 10:39:00,4.23,4.23,4.23,4.22,885,373998.0,4.261
2024-11-08 10:40:00,4.22,4.21,4.22,4.21,1559,657860.0,4.261
2024-11-08 10:41:00,4.22,4.22,4.22,4.21,697,293660.0,4.26
2024-11-08 10:42:00,4.21,4.21,4.22,4.21,872,367386.0,4.26
2024-11-08 10:43:00,4.21,4.2,4.21,4.2,3740,1574028.0,4.258
2024-11-08 10:44:00,4.2,4.21,4.21,4.2,995,418063.0,4.258
2024-11-08 10:45:00,4.2,4.2,4.2,4.19,3794,1593275.0,4.256
2024-11-08 10:46:00,4.2,4.2,4.2,4.19,3364,1410712.0,4.254
2024-11-08 10:47:00,4.2,4.2,4.21,4.19,278,116773.0,4.254
2024-11-08 10:48:00,4.2,4.21,4.21,4.2,1468,616671.0,4.253
2024-11-08 10:49:00,4.21,4.2,4.21,4.2,244,102512.0,4.253
