时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-08 09:30:00,117.2,117.2,117.2,117.2,1864,21846080.0,117.2
2024-11-08 09:31:00,117.5,116.0,117.58,116.0,3652,42736444.0,117.082
2024-11-08 09:32:00,116.0,115.5,116.0,115.3,1960,22679947.0,116.724
2024-11-08 09:33:00,115.36,114.88,115.36,114.52,2610,29997492.0,116.261
2024-11-08 09:34:00,114.88,115.36,115.49,114.53,2464,28339635.0,116.016
2024-11-08 09:35:00,115.46,114.97,115.65,114.93,1591,18353968.0,115.942
2024-11-08 09:36:00,114.81,114.4,114.81,114.0,2420,27673492.0,115.71
2024-11-08 09:37:00,114.25,114.4,114.84,114.25,1138,13046052.0,115.641
2024-11-08 09:38:00,114.4,114.18,114.65,114.18,1375,15732696.0,115.553
2024-11-08 09:39:00,114.21,113.61,114.21,113.61,2035,23209153.0,115.408
2024-11-08 09:40:00,113.65,114.0,114.44,113.51,1420,16177494.0,115.314
2024-11-08 09:41:00,114.06,114.0,114.21,113.99,906,10332252.0,115.265
2024-11-08 09:42:00,113.94,113.76,113.96,113.76,1049,11944673.0,115.205
2024-11-08 09:43:00,113.72,113.32,113.72,113.31,1579,17913896.0,115.1
2024-11-08 09:44:00,113.33,113.57,113.7,113.33,1003,11383242.0,115.04
2024-11-08 09:45:00,113.7,114.02,114.02,113.6,1102,12533746.0,114.989
2024-11-08 09:46:00,114.07,114.54,114.66,114.02,960,10976941.0,114.967
2024-11-08 09:47:00,114.6,114.21,114.6,114.1,925,10574532.0,114.947
2024-11-08 09:48:00,114.2,114.41,114.41,114.0,827,9441813.0,114.926
2024-11-08 09:49:00,114.41,114.15,114.41,114.07,629,7186983.0,114.913
2024-11-08 09:50:00,114.15,114.12,114.15,114.0,681,7765907.0,114.895
2024-11-08 09:51:00,114.1,114.05,114.4,114.0,678,7737602.0,114.879
2024-11-08 09:52:00,114.05,114.58,114.58,114.05,753,8607117.0,114.866
2024-11-08 09:53:00,114.58,114.2,114.58,114.2,665,7611304.0,114.858
2024-11-08 09:54:00,114.23,114.65,114.65,114.23,560,6405000.0,114.85
2024-11-08 09:55:00,114.55,114.4,114.65,114.22,576,6591581.0,114.843
2024-11-08 09:56:00,114.4,114.14,114.4,114.03,691,7891165.0,114.831
2024-11-08 09:57:00,114.14,114.4,114.5,114.14,551,6299164.0,114.824
2024-11-08 09:58:00,114.47,114.4,114.49,114.31,414,4735611.0,114.82
2024-11-08 09:59:00,114.3,114.02,114.3,113.93,1347,15363812.0,114.792
2024-11-08 10:00:00,114.1,113.92,114.1,113.9,477,5436440.0,114.782
2024-11-08 10:01:00,113.9,113.86,113.9,113.86,338,3849300.0,114.774
2024-11-08 10:02:00,113.86,113.86,113.87,113.83,664,7559978.0,114.759
2024-11-08 10:03:00,113.83,114.21,114.23,113.83,335,3816976.0,114.752
2024-11-08 10:04:00,114.24,114.33,114.38,114.24,264,3018208.0,114.749
2024-11-08 10:05:00,114.35,114.16,114.35,114.12,323,3689100.0,114.745
2024-11-08 10:06:00,114.11,114.36,114.36,114.11,637,7277579.0,114.737
2024-11-08 10:07:00,114.36,114.26,114.38,114.21,298,3405732.0,114.734
2024-11-08 10:08:00,114.36,114.63,114.65,114.27,430,4921521.0,114.731
2024-11-08 10:09:00,114.53,114.88,114.88,114.53,329,3774188.0,114.731
2024-11-08 10:10:00,114.88,114.96,114.96,114.85,421,4837455.0,114.733
2024-11-08 10:11:00,114.96,114.78,114.96,114.7,687,7890884.0,114.735
2024-11-08 10:12:00,114.61,114.58,114.62,114.56,622,7128770.0,114.733
2024-11-08 10:13:00,114.56,114.72,114.77,114.56,284,3256436.0,114.733
2024-11-08 10:14:00,114.63,114.42,114.63,114.41,359,4110377.0,114.731
2024-11-08 10:15:00,114.4,114.22,114.4,114.2,461,5268365.0,114.726
2024-11-08 10:16:00,114.08,113.91,114.14,113.84,701,7991170.0,114.715
2024-11-08 10:17:00,113.84,114.04,114.11,113.84,785,8943795.0,114.702
2024-11-08 10:18:00,114.05,114.0,114.05,113.95,517,5893605.0,114.694
2024-11-08 10:19:00,113.98,114.01,114.06,113.98,263,2998186.0,114.691
2024-11-08 10:20:00,114.02,114.17,114.23,114.0,418,4768749.0,114.685
