成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:02,18.36,-0.02,3168,5816448,卖盘
09:30:02,18.42,0.06,1073,1972184,买盘
09:30:05,18.29,-0.13,252,462195,卖盘
09:30:08,18.36,0.07,1487,2729605,买盘
09:30:11,18.29,-0.07,499,915043,卖盘
09:30:14,18.36,0.07,2012,3693189,买盘
09:30:17,18.3,-0.06,1724,3164827,卖盘
09:30:20,18.39,0.09,829,1524561,买盘
09:30:23,18.41,0.02,146,268690,买盘
09:30:26,18.45,0.04,811,1494796,买盘
09:30:29,18.45,0.0,1274,2350074,买盘
09:30:32,18.46,0.01,1770,3266451,买盘
09:30:35,18.48,0.02,1100,2032869,买盘
09:30:38,18.5,0.02,427,789785,买盘
09:30:41,18.5,0.0,1123,2079502,买盘
09:30:44,18.52,0.02,236,437514,卖盘
09:30:47,18.54,0.02,690,1279896,买盘
09:30:50,18.57,0.03,287,532911,中性盘
09:30:53,18.58,0.01,592,1100072,买盘
09:30:56,18.6,0.02,1030,1915301,买盘
09:30:59,18.62,0.02,879,1637531,中性盘
09:31:02,18.63,0.01,595,1109171,卖盘
09:31:05,18.64,0.01,944,1760640,买盘
09:31:08,18.65,0.01,935,1745240,中性盘
09:31:11,18.64,-0.01,414,772056,卖盘
09:31:14,18.65,0.01,1195,2228599,中性盘
09:31:17,18.64,-0.01,988,1843339,买盘
09:31:20,18.61,-0.03,654,1217724,卖盘
09:31:23,18.6,-0.01,995,1853351,卖盘
09:31:26,18.6,0.0,1305,2427436,卖盘
09:31:29,18.6,0.0,396,736267,买盘
09:31:32,18.6,0.0,602,1119563,买盘
09:31:35,18.58,-0.02,270,501810,卖盘
09:31:38,18.58,0.0,571,1061557,卖盘
09:31:41,18.6,0.02,482,896142,买盘
09:31:44,18.58,-0.02,2805,5214852,卖盘
09:31:47,18.62,0.04,605,1125939,买盘
09:31:50,18.65,0.03,769,1434002,买盘
09:31:53,18.69,0.04,684,1277241,买盘
09:31:56,18.73,0.04,1810,3384893,买盘
09:31:59,18.73,0.0,929,1739451,卖盘
09:32:02,18.69,-0.04,487,911111,卖盘
09:32:05,18.67,-0.02,554,1035529,卖盘
09:32:08,18.65,-0.02,272,506992,卖盘
09:32:11,18.66,0.01,423,788371,买盘
09:32:14,18.65,-0.01,309,575695,卖盘
09:32:17,18.64,-0.01,637,1187427,卖盘
09:32:20,18.63,-0.01,347,646702,卖盘
09:32:23,18.6,-0.03,213,396586,卖盘
