成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:03,11.0,0.0,1442,1586200,卖盘
09:30:03,11.0,0.0,267,292323,买盘
09:30:06,10.96,-0.04,41,44995,卖盘
09:30:09,10.89,-0.07,85,92749,卖盘
09:30:12,10.89,0.0,44,47916,买盘
09:30:15,10.91,0.02,350,382158,买盘
09:30:18,10.89,-0.02,29,31559,中性盘
09:30:21,10.95,0.06,77,84167,买盘
09:30:24,10.95,0.0,24,26244,买盘
09:30:27,10.9,-0.05,139,151688,卖盘
09:30:30,10.95,0.05,116,127107,买盘
09:30:33,10.96,0.01,24,26248,买盘
09:30:36,10.96,0.0,56,61327,买盘
09:30:39,10.96,0.0,161,176398,买盘
09:30:42,10.96,0.0,57,62443,买盘
09:30:45,10.96,0.0,3,3288,卖盘
09:30:48,10.97,0.01,31,34000,买盘
09:30:51,10.96,-0.01,35,38360,卖盘
09:30:54,10.96,0.0,55,60245,买盘
09:30:57,10.97,0.01,49,53753,买盘
09:31:00,10.96,-0.01,196,215045,卖盘
09:31:03,10.99,0.03,127,139479,买盘
09:31:06,11.0,0.01,707,777163,买盘
09:31:09,11.01,0.01,5,5505,买盘
09:31:12,11.04,0.03,105,115732,买盘
09:31:15,11.04,0.0,119,131370,买盘
09:31:18,11.05,0.01,193,213262,买盘
09:31:21,11.05,0.0,61,67425,买盘
09:31:24,11.06,0.01,12,13272,买盘
09:31:27,11.07,0.01,65,71955,买盘
09:31:30,11.09,0.02,96,106375,买盘
09:31:33,11.08,-0.01,209,231661,卖盘
09:31:36,11.09,0.01,502,556718,买盘
09:31:39,11.09,0.0,157,174111,买盘
09:31:42,11.09,0.0,70,77630,买盘
09:31:45,11.09,0.0,356,395247,买盘
09:31:48,11.11,0.02,106,117683,买盘
09:31:51,11.11,0.0,84,93378,卖盘
09:31:54,11.18,0.07,140,156484,买盘
09:31:57,11.2,0.02,145,162319,买盘
09:32:03,11.26,0.06,142,159881,买盘
09:32:06,11.23,-0.03,148,166383,卖盘
09:32:09,11.19,-0.04,215,240957,卖盘
09:32:12,11.16,-0.03,118,132022,卖盘
09:32:15,11.16,0.0,38,42458,中性盘
09:32:18,11.16,0.0,129,144173,买盘
09:32:21,11.17,0.01,15,16744,买盘
09:32:24,11.18,0.01,17,18996,买盘
09:32:27,11.18,0.0,26,29090,卖盘
09:32:30,11.18,0.0,52,58150,卖盘
09:32:33,11.19,0.01,72,80683,买盘
09:32:36,11.2,0.01,99,110880,卖盘
09:32:39,11.24,0.04,213,239140,买盘
09:32:42,11.25,0.01,72,81225,买盘
09:32:45,11.27,0.02,40,45070,买盘
09:32:48,11.28,0.01,15,16920,买盘
09:32:51,11.28,0.0,38,42841,买盘
09:32:54,11.29,0.01,30,33865,卖盘
09:32:57,11.3,0.01,588,666203,买盘
09:33:00,11.3,0.0,116,131038,卖盘
09:33:03,11.35,0.05,275,311057,买盘
09:33:06,11.35,0.0,50,56703,买盘
09:33:09,11.35,0.0,138,156466,买盘
09:33:12,11.35,0.0,236,267445,买盘
09:33:15,11.35,0.0,330,374526,卖盘
09:33:18,11.36,0.01,94,107174,买盘
09:33:21,11.37,0.01,66,75012,买盘
09:33:24,11.37,0.0,174,197749,买盘
09:33:27,11.33,-0.04,963,1093647,卖盘
09:33:30,11.35,0.02,685,777006,买盘
09:33:33,11.33,-0.02,137,155299,中性盘
09:33:36,11.34,0.01,578,654683,买盘
09:33:39,11.35,0.01,359,406734,买盘
09:33:42,11.33,-0.02,13,14734,卖盘
09:33:45,11.33,0.0,325,368649,卖盘
09:33:48,11.31,-0.02,633,716351,卖盘
09:33:51,11.31,0.0,83,93952,卖盘
09:33:54,11.35,0.04,494,560134,买盘
09:33:57,11.35,0.0,198,224805,卖盘
09:34:00,11.36,0.01,254,288841,买盘
09:34:03,11.36,0.0,84,95403,卖盘
09:34:06,11.37,0.01,305,346721,买盘
09:34:09,11.37,0.0,186,211478,买盘
09:34:12,11.37,0.0,92,104570,卖盘
09:34:15,11.38,0.01,284,322639,买盘
09:34:18,11.39,0.01,160,181986,买盘
09:34:21,11.4,0.01,260,296081,买盘
09:34:24,11.4,0.0,462,526356,买盘
09:34:27,11.4,0.0,59,67260,买盘
09:34:30,11.41,0.01,143,163286,买盘
09:34:33,11.45,0.04,116,132608,买盘
09:34:36,11.42,-0.03,28,32016,卖盘
09:34:39,11.44,0.02,50,57210,买盘
09:34:42,11.45,0.01,123,140776,买盘
09:34:45,11.46,0.01,37,42389,买盘
09:34:48,11.47,0.01,98,112370,买盘
09:34:51,11.47,0.0,76,87158,买盘
09:34:54,11.48,0.01,115,131973,买盘
09:34:57,11.49,0.01,500,574050,买盘
09:35:00,11.5,0.01,244,279947,买盘
09:35:03,11.45,-0.05,464,532276,卖盘
09:35:06,11.41,-0.04,669,765396,卖盘
09:35:09,11.4,-0.01,421,480033,卖盘
09:35:12,11.45,0.05,197,224918,买盘
09:35:15,11.4,-0.05,103,117092,卖盘
09:35:18,11.41,0.01,152,173534,买盘
09:35:21,11.41,0.0,144,164209,买盘
09:35:24,11.41,0.0,212,241768,卖盘
09:35:27,11.41,0.0,232,264901,卖盘
09:35:30,11.41,0.0,120,136664,卖盘
09:35:33,11.41,0.0,305,348197,卖盘
09:35:36,11.42,0.01,232,265119,买盘
09:35:39,11.41,-0.01,88,100418,卖盘
09:35:42,11.42,0.01,189,215803,买盘
09:35:45,11.42,0.0,5,5710,卖盘
09:35:48,11.41,-0.01,96,109604,卖盘
09:35:51,11.42,0.01,25,28545,买盘
09:35:54,11.42,0.0,149,170171,卖盘
09:35:57,11.42,0.0,27,30856,卖盘
09:36:00,11.42,0.0,41,46823,卖盘
09:36:03,11.43,0.01,56,63961,买盘
09:36:06,11.42,-0.01,97,110804,卖盘
09:36:09,11.44,0.02,635,726004,买盘
09:36:12,11.48,0.04,369,423285,买盘
09:36:15,11.49,0.01,15,17638,买盘
09:36:18,11.49,0.0,103,118345,买盘
09:36:21,11.49,0.0,24,28036,买盘
09:36:24,11.5,0.01,259,297640,买盘
09:36:27,11.5,0.0,140,160933,买盘
09:36:30,11.5,0.0,232,266706,买盘
09:36:33,11.52,0.02,546,627393,买盘
09:36:36,11.51,-0.01,128,147272,卖盘
09:36:39,11.52,0.01,152,174928,买盘
09:36:42,11.5,-0.02,322,370760,卖盘
09:36:45,11.5,0.0,179,206054,买盘
09:36:48,11.5,0.0,192,220976,买盘
09:36:51,11.52,0.02,114,131217,买盘
09:36:54,11.52,0.0,528,607770,卖盘
09:36:57,11.51,-0.01,75,86268,卖盘
09:37:00,11.58,0.07,285,329180,买盘
09:37:03,11.58,0.0,34,39372,买盘
09:37:06,11.6,0.02,29,33627,买盘
09:37:09,11.64,0.04,200,232561,买盘
09:37:12,11.59,-0.05,391,453695,卖盘
09:37:15,11.65,0.06,417,485745,买盘
09:37:18,11.66,0.01,66,76951,买盘
09:37:21,11.69,0.03,209,243825,买盘
09:37:24,11.7,0.01,399,467352,买盘
09:37:27,11.75,0.05,180,211380,买盘
09:37:30,11.75,0.0,101,118591,买盘
09:37:33,11.75,0.0,531,622501,买盘
09:37:36,11.79,0.04,331,389163,买盘
09:37:39,11.79,0.0,115,135674,卖盘
09:37:42,11.8,0.01,108,127393,买盘
09:37:45,11.83,0.03,75,88553,中性盘
09:37:48,11.83,0.0,94,111471,卖盘
09:37:51,11.76,-0.07,898,1058946,卖盘
09:37:54,11.82,0.06,428,504272,买盘
09:37:57,11.82,0.0,186,219734,买盘
09:38:00,11.82,0.0,125,147578,买盘
09:38:03,11.83,0.01,345,407683,买盘
09:38:06,11.83,0.0,268,317115,卖盘
09:38:09,11.88,0.05,2220,2631093,买盘
09:38:12,11.83,-0.05,777,922562,卖盘
09:38:15,11.82,-0.01,404,477512,中性盘
09:38:18,11.83,0.01,312,369201,买盘
09:38:21,11.79,-0.04,113,132800,卖盘
09:38:24,11.76,-0.03,464,545424,卖盘
09:38:27,11.74,-0.02,90,105396,卖盘
09:38:30,11.71,-0.03,135,158129,中性盘
09:38:33,11.7,-0.01,14,16364,买盘
09:38:36,11.67,-0.03,51,59434,买盘
09:38:39,11.64,-0.03,244,284229,卖盘
09:38:42,11.64,0.0,28,32524,买盘
09:38:45,11.62,-0.02,50,57929,中性盘
09:38:48,11.62,0.0,23,26758,卖盘
09:38:51,11.64,0.02,78,90683,买盘
09:38:54,11.64,0.0,126,146504,中性盘
09:38:57,11.65,0.01,152,177336,卖盘
09:39:00,11.65,0.0,41,47771,卖盘
09:39:03,11.69,0.04,84,97990,中性盘
09:39:06,11.7,0.01,37,43255,买盘
09:39:12,11.74,0.04,38,44586,买盘
