时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-11 09:30:00,0.0,1.75,1.75,1.75,63687,11145225.0,1.75
2024-11-11 09:31:00,0.0,1.68,1.74,1.68,140390,24206187.0,1.732
2024-11-11 09:32:00,0.0,1.71,1.71,1.66,42546,7159665.0,1.724
2024-11-11 09:33:00,0.0,1.71,1.72,1.69,35660,6084645.0,1.722
2024-11-11 09:34:00,0.0,1.76,1.77,1.71,34415,5996121.0,1.724
2024-11-11 09:35:00,0.0,1.73,1.77,1.72,42477,7415941.0,1.726
2024-11-11 09:36:00,0.0,1.73,1.74,1.73,23413,4043847.0,1.726
2024-11-11 09:37:00,0.0,1.73,1.74,1.72,9815,1700461.0,1.727
2024-11-11 09:38:00,0.0,1.74,1.75,1.74,9857,1719046.0,1.727
2024-11-11 09:39:00,0.0,1.75,1.75,1.73,19899,3465243.0,1.728
2024-11-11 09:40:00,0.0,1.75,1.75,1.74,7274,1269658.0,1.728
2024-11-11 09:41:00,0.0,1.72,1.75,1.72,26415,4582113.0,1.728
2024-11-11 09:42:00,0.0,1.72,1.73,1.72,21741,3738951.0,1.728
2024-11-11 09:43:00,0.0,1.7,1.72,1.7,24466,4177235.0,1.727
2024-11-11 09:44:00,0.0,1.64,1.7,1.64,60611,10152080.0,1.721
2024-11-11 09:45:00,0.0,1.62,1.64,1.62,110765,17968285.0,1.705
2024-11-11 09:46:00,0.0,1.66,1.66,1.63,35238,5776270.0,1.702
2024-11-11 09:47:00,0.0,1.63,1.66,1.63,36507,5991202.0,1.699
2024-11-11 09:48:00,0.0,1.62,1.63,1.62,53618,8712716.0,1.694
2024-11-11 09:49:00,0.0,1.63,1.64,1.62,21968,3570795.0,1.692
2024-11-11 09:50:00,0.0,1.65,1.65,1.63,20801,3405611.0,1.691
2024-11-11 09:51:00,0.0,1.65,1.65,1.64,14143,2323543.0,1.69
2024-11-11 09:52:00,0.0,1.64,1.65,1.64,10234,1680277.0,1.689
2024-11-11 09:53:00,0.0,1.65,1.65,1.64,7867,1294382.0,1.689
2024-11-11 09:54:00,0.0,1.65,1.65,1.64,10655,1755091.0,1.688
2024-11-11 09:55:00,0.0,1.66,1.66,1.65,5949,986834.0,1.688
2024-11-11 09:56:00,0.0,1.67,1.67,1.66,14475,2414439.0,1.688
2024-11-11 09:57:00,0.0,1.67,1.67,1.66,9794,1632337.0,1.688
