时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-08 09:30:00,6.74,6.74,6.74,6.74,134318,90530332.0,6.74
2024-11-08 09:31:00,6.7,6.57,6.7,6.5,216215,143275602.0,6.67
2024-11-08 09:32:00,6.57,6.64,6.7,6.57,132355,88246983.0,6.669
2024-11-08 09:33:00,6.64,6.63,6.72,6.63,96670,64559011.0,6.671
2024-11-08 09:34:00,6.61,6.45,6.62,6.43,90959,59566683.0,6.654
2024-11-08 09:35:00,6.4,6.51,6.51,6.34,83775,53800948.0,6.629
2024-11-08 09:36:00,6.52,6.41,6.53,6.4,61937,40065953.0,6.616
2024-11-08 09:37:00,6.4,6.48,6.49,6.4,52548,33836624.0,6.606
2024-11-08 09:38:00,6.49,6.46,6.51,6.46,42720,27734229.0,6.6
2024-11-08 09:39:00,6.47,6.36,6.48,6.36,51153,32852719.0,6.591
2024-11-08 09:40:00,6.36,6.28,6.39,6.26,68292,43305261.0,6.574
2024-11-08 09:41:00,6.27,6.37,6.43,6.25,82547,52378928.0,6.557
2024-11-08 09:42:00,6.37,6.39,6.41,6.37,37704,24107993.0,6.552
2024-11-08 09:43:00,6.4,6.36,6.4,6.33,22520,14320092.0,6.548
2024-11-08 09:44:00,6.37,6.37,6.38,6.36,17126,10905176.0,6.546
2024-11-08 09:45:00,6.37,6.38,6.38,6.37,16033,10216707.0,6.543
2024-11-08 09:46:00,6.38,6.45,6.45,6.38,34532,22113820.0,6.54
2024-11-08 09:47:00,6.45,6.4,6.45,6.4,36741,23586443.0,6.536
2024-11-08 09:48:00,6.4,6.4,6.4,6.37,17490,11162836.0,6.534
2024-11-08 09:49:00,6.4,6.35,6.4,6.34,24391,15507999.0,6.531
2024-11-08 09:50:00,6.33,6.27,6.33,6.27,27174,17097671.0,6.526
2024-11-08 09:51:00,6.24,6.24,6.25,6.2,57881,36124523.0,6.514
2024-11-08 09:52:00,6.23,6.33,6.33,6.23,18939,11876358.0,6.511
2024-11-08 09:53:00,6.34,6.28,6.34,6.27,22582,14232745.0,6.508
2024-11-08 09:54:00,6.27,6.31,6.32,6.27,13994,8809481.0,6.506
2024-11-08 09:55:00,6.31,6.3,6.32,6.3,11128,7022009.0,6.504
2024-11-08 09:56:00,6.3,6.27,6.31,6.27,13372,8406406.0,6.502
2024-11-08 09:57:00,6.27,6.26,6.3,6.26,23209,14540140.0,6.499
2024-11-08 09:58:00,6.26,6.21,6.26,6.21,65926,41063789.0,6.487
2024-11-08 09:59:00,6.24,6.27,6.29,6.24,39064,24458699.0,6.482
2024-11-08 10:00:00,6.29,6.28,6.3,6.28,30757,19332204.0,6.478
2024-11-08 10:01:00,6.28,6.28,6.28,6.25,21895,13716337.0,6.475
2024-11-08 10:02:00,6.27,6.32,6.32,6.27,18728,11798954.0,6.473
2024-11-08 10:03:00,6.32,6.38,6.39,6.32,22236,14145867.0,6.472
2024-11-08 10:04:00,6.38,6.34,6.4,6.33,19340,12317974.0,6.471
2024-11-08 10:05:00,6.35,6.44,6.44,6.35,37693,24139517.0,6.469
2024-11-08 10:06:00,6.4,6.4,6.45,6.39,35229,22565150.0,6.468
2024-11-08 10:07:00,6.39,6.38,6.39,6.36,15749,10043575.0,6.467
2024-11-08 10:08:00,6.39,6.4,6.42,6.39,12878,8241714.0,6.467
2024-11-08 10:09:00,6.39,6.36,6.4,6.34,16597,10576602.0,6.466
2024-11-08 10:10:00,6.36,6.38,6.39,6.36,12040,7672406.0,6.465
2024-11-08 10:11:00,6.39,6.37,6.4,6.37,11244,7172138.0,6.465
2024-11-08 10:12:00,6.37,6.37,6.38,6.36,9637,6141312.0,6.464
2024-11-08 10:13:00,6.38,6.34,6.38,6.34,9195,5848457.0,6.464
2024-11-08 10:14:00,6.34,6.36,6.36,6.33,26357,16744343.0,6.462
2024-11-08 10:15:00,6.36,6.34,6.36,6.34,8084,5132185.0,6.462
2024-11-08 10:16:00,6.35,6.38,6.38,6.33,26254,16690911.0,6.461
2024-11-08 10:17:00,6.37,6.39,6.4,6.37,6564,4191541.0,6.46
2024-11-08 10:18:00,6.4,6.4,6.4,6.39,10712,6853789.0,6.46
2024-11-08 10:19:00,6.39,6.39,6.4,6.38,6998,4471607.0,6.46
2024-11-08 10:20:00,6.38,6.38,6.39,6.38,4001,2552740.0,6.46
2024-11-08 10:21:00,6.39,6.38,6.39,6.38,5787,3694935.0,6.459
2024-11-08 10:22:00,6.38,6.38,6.39,6.37,9064,5784500.0,6.459
2024-11-08 10:23:00,6.39,6.38,6.39,6.37,4906,3131187.0,6.459
2024-11-08 10:24:00,6.38,6.34,6.38,6.34,11013,6999397.0,6.458
2024-11-08 10:25:00,6.36,6.37,6.38,6.35,4631,2946533.0,6.458
2024-11-08 10:26:00,6.37,6.36,6.38,6.35,5837,3714056.0,6.458
2024-11-08 10:27:00,6.36,6.35,6.36,6.34,7478,4744115.0,6.457
2024-11-08 10:28:00,6.34,6.34,6.35,6.34,4158,2638144.0,6.457
2024-11-08 10:29:00,6.35,6.35,6.35,6.34,3308,2099182.0,6.457
2024-11-08 10:30:00,6.35,6.34,6.35,6.34,4408,2796809.0,6.457
2024-11-08 10:31:00,6.34,6.37,6.37,6.34,11043,7021536.0,6.456
2024-11-08 10:32:00,6.37,6.38,6.38,6.37,5378,3430017.0,6.456
2024-11-08 10:33:00,6.37,6.36,6.38,6.36,5063,3223387.0,6.456
2024-11-08 10:34:00,6.36,6.36,6.36,6.35,3415,2171232.0,6.455
2024-11-08 10:35:00,6.36,6.36,6.37,6.35,3394,2158336.0,6.455
2024-11-08 10:36:00,6.36,6.35,6.37,6.35,6871,4365697.0,6.455
2024-11-08 10:37:00,6.35,6.36,6.36,6.35,3436,2182905.0,6.455
2024-11-08 10:38:00,6.35,6.34,6.35,6.34,3807,2416100.0,6.455
2024-11-08 10:39:00,6.34,6.35,6.36,6.34,5528,3508834.0,6.454
2024-11-08 10:40:00,6.34,6.34,6.35,6.34,4811,3050504.0,6.454
2024-11-08 10:41:00,6.34,6.35,6.35,6.32,13006,8236222.0,6.453
2024-11-08 10:42:00,6.35,6.34,6.35,6.34,5042,3198358.0,6.453
2024-11-08 10:43:00,6.34,6.3,6.34,6.3,14036,8853687.0,6.452
2024-11-08 10:44:00,6.3,6.29,6.3,6.28,11960,7525961.0,6.451
2024-11-08 10:45:00,6.29,6.29,6.29,6.26,16134,10125136.0,6.45
2024-11-08 10:46:00,6.29,6.33,6.33,6.28,5540,3491230.0,6.45
2024-11-08 10:47:00,6.34,6.34,6.35,6.33,5118,3243326.0,6.449
2024-11-08 10:48:00,6.34,6.34,6.36,6.33,7246,4598511.0,6.449
2024-11-08 10:49:00,6.35,6.34,6.35,6.33,1984,1258095.0,6.449
2024-11-08 10:50:00,6.33,6.33,6.34,6.32,1986,1256950.0,6.449
2024-11-08 10:51:00,6.32,6.34,6.35,6.32,3110,1969384.0,6.449
2024-11-08 10:52:00,6.33,6.34,6.34,6.32,5463,3462692.0,6.448
2024-11-08 10:53:00,6.34,6.34,6.35,6.34,1931,1224369.0,6.448
2024-11-08 10:54:00,6.35,6.34,6.35,6.34,3161,2005501.0,6.448
2024-11-08 10:55:00,6.35,6.33,6.35,6.33,3711,2351308.0,6.448
2024-11-08 10:56:00,6.34,6.34,6.35,6.33,1653,1047975.0,6.448
2024-11-08 10:57:00,6.35,6.35,6.35,6.34,3560,2259887.0,6.448
2024-11-08 10:58:00,6.35,6.37,6.37,6.35,8157,5188009.0,6.447
2024-11-08 10:59:00,6.37,6.38,6.38,6.36,7022,4479016.0,6.447
2024-11-08 11:00:00,6.39,6.41,6.41,6.38,18198,11643782.0,6.447
2024-11-08 11:01:00,6.42,6.39,6.42,6.39,15541,9967009.0,6.446
2024-11-08 11:02:00,6.4,6.42,6.42,6.39,8439,5405485.0,6.446
2024-11-08 11:03:00,6.43,6.42,6.44,6.41,10957,7039482.0,6.446
2024-11-08 11:04:00,6.42,6.41,6.43,6.4,10064,6450255.0,6.446
2024-11-08 11:05:00,6.41,6.38,6.41,6.37,4941,3155482.0,6.446
2024-11-08 11:06:00,6.38,6.37,6.39,6.37,3075,1960254.0,6.446
2024-11-08 11:07:00,6.38,6.39,6.4,6.37,3367,2147999.0,6.446
2024-11-08 11:08:00,6.39,6.38,6.4,6.38,2841,1813851.0,6.446
2024-11-08 11:09:00,6.37,6.37,6.38,6.37,2700,1720615.0,6.446
2024-11-08 11:10:00,6.36,6.36,6.37,6.36,4913,3125662.0,6.445
2024-11-08 11:11:00,6.36,6.37,6.37,6.35,5454,3468256.0,6.445
2024-11-08 11:12:00,6.38,6.39,6.39,6.37,4726,3013208.0,6.445
2024-11-08 11:13:00,6.4,6.42,6.43,6.39,6319,4048364.0,6.445
2024-11-08 11:14:00,6.43,6.43,6.44,6.42,10572,6802068.0,6.445
2024-11-08 11:15:00,6.42,6.41,6.42,6.41,4369,2803474.0,6.445
2024-11-08 11:16:00,6.41,6.41,6.42,6.4,2511,1609919.0,6.445
2024-11-08 11:17:00,6.41,6.38,6.41,6.37,5977,3823936.0,6.445
2024-11-08 11:18:00,6.39,6.39,6.39,6.37,2562,1633457.0,6.445
