时间,开盘,收盘,最高,最低,成交量,成交额,均价
2024-11-08 09:30:00,8.55,8.55,8.55,8.55,1265,1081575.0,8.55
2024-11-08 09:31:00,8.55,8.58,8.59,8.55,4576,3920432.0,8.564
2024-11-08 09:32:00,8.6,8.55,8.6,8.55,6636,5687455.0,8.567
2024-11-08 09:33:00,8.55,8.51,8.55,8.51,4406,3759427.0,8.558
2024-11-08 09:34:00,8.51,8.55,8.55,8.49,6865,5851540.0,8.548
2024-11-08 09:35:00,8.55,8.53,8.56,8.53,2899,2478724.0,8.549
2024-11-08 09:36:00,8.53,8.5,8.53,8.5,2060,1754462.0,8.546
2024-11-08 09:37:00,8.5,8.52,8.53,8.5,2588,2203812.0,8.544
2024-11-08 09:38:00,8.51,8.59,8.59,8.51,5555,4748084.0,8.544
2024-11-08 09:39:00,8.59,8.56,8.59,8.56,1382,1184432.0,8.545
2024-11-08 09:40:00,8.57,8.6,8.61,8.56,5615,4822482.0,8.551
2024-11-08 09:41:00,8.61,8.62,8.62,8.6,3298,2839172.0,8.555
2024-11-08 09:42:00,8.62,8.61,8.62,8.6,3177,2735672.0,8.558
2024-11-08 09:43:00,8.6,8.57,8.6,8.57,2276,1954176.0,8.56
2024-11-08 09:44:00,8.56,8.6,8.6,8.56,3631,3117159.0,8.561
2024-11-08 09:45:00,8.6,8.59,8.6,8.58,1543,1325341.0,8.562
2024-11-08 09:46:00,8.59,8.62,8.62,8.59,4406,3789029.0,8.565
2024-11-08 09:47:00,8.62,8.61,8.62,8.61,2764,2381846.0,8.567
2024-11-08 09:48:00,8.61,8.61,8.61,8.6,1865,1605610.0,8.568
2024-11-08 09:49:00,8.61,8.58,8.61,8.57,4197,3603733.0,8.569
2024-11-08 09:50:00,8.58,8.62,8.62,8.58,2621,2254932.0,8.57
2024-11-08 09:51:00,8.62,8.68,8.68,8.62,11565,10001430.0,8.581
2024-11-08 09:52:00,8.67,8.69,8.69,8.67,4950,4297952.0,8.587
2024-11-08 09:53:00,8.68,8.66,8.68,8.66,2350,2037213.0,8.589
2024-11-08 09:54:00,8.65,8.66,8.66,8.65,1292,1118598.0,8.59
2024-11-08 09:55:00,8.67,8.65,8.67,8.64,1395,1207188.0,8.591
2024-11-08 09:56:00,8.65,8.6,8.65,8.6,2718,2343788.0,8.591
2024-11-08 09:57:00,8.62,8.61,8.63,8.61,1487,1281004.0,8.592
2024-11-08 09:58:00,8.62,8.63,8.63,8.61,1482,1277683.0,8.592
2024-11-08 09:59:00,8.62,8.61,8.62,8.61,2296,1977927.0,8.593
2024-11-08 10:00:00,8.6,8.59,8.6,8.58,2355,2023067.0,8.593
2024-11-08 10:01:00,8.6,8.59,8.6,8.59,779,669533.0,8.593
2024-11-08 10:02:00,8.6,8.59,8.6,8.58,1249,1073551.0,8.593
2024-11-08 10:03:00,8.59,8.59,8.6,8.58,1134,973953.0,8.593
2024-11-08 10:04:00,8.6,8.6,8.61,8.59,2783,2393593.0,8.593
2024-11-08 10:05:00,8.62,8.61,8.62,8.6,1017,876002.0,8.593
2024-11-08 10:06:00,8.61,8.63,8.63,8.61,1068,920904.0,8.593
2024-11-08 10:07:00,8.63,8.64,8.64,8.63,431,372261.0,8.594
2024-11-08 10:08:00,8.63,8.63,8.63,8.62,1426,1230585.0,8.594
2024-11-08 10:09:00,8.63,8.63,8.64,8.63,898,775360.0,8.594
2024-11-08 10:10:00,8.64,8.64,8.64,8.63,538,464622.0,8.594
2024-11-08 10:11:00,8.64,8.61,8.64,8.61,845,728800.0,8.595
2024-11-08 10:12:00,8.61,8.6,8.61,8.6,635,546522.0,8.595
2024-11-08 10:13:00,8.6,8.59,8.61,8.59,1351,1161260.0,8.595
2024-11-08 10:14:00,8.59,8.58,8.6,8.58,1808,1551335.0,8.595
2024-11-08 10:15:00,8.58,8.57,8.58,8.57,1615,1384144.0,8.594
2024-11-08 10:16:00,8.57,8.58,8.58,8.56,1039,890350.0,8.594
2024-11-08 10:17:00,8.58,8.6,8.6,8.57,1559,1337805.0,8.594
2024-11-08 10:18:00,8.59,8.59,8.6,8.58,534,458684.0,8.594
2024-11-08 10:19:00,8.59,8.59,8.59,8.58,614,527449.0,8.594
2024-11-08 10:20:00,8.59,8.58,8.6,8.58,386,331567.0,8.594
2024-11-08 10:21:00,8.58,8.6,8.6,8.58,658,565251.0,8.594
2024-11-08 10:22:00,8.59,8.6,8.6,8.59,421,361958.0,8.594
2024-11-08 10:23:00,8.6,8.6,8.6,8.59,802,689454.0,8.594
2024-11-08 10:24:00,8.6,8.59,8.6,8.59,734,631029.0,8.594
2024-11-08 10:25:00,8.59,8.59,8.6,8.59,1064,914398.0,8.594
2024-11-08 10:26:00,8.59,8.6,8.6,8.59,263,225976.0,8.594
2024-11-08 10:27:00,8.59,8.58,8.6,8.58,394,338380.0,8.594
2024-11-08 10:28:00,8.58,8.58,8.59,8.58,701,601463.0,8.594
2024-11-08 10:29:00,8.58,8.57,8.59,8.57,487,417887.0,8.594
2024-11-08 10:30:00,8.58,8.56,8.58,8.56,2090,1790237.0,8.593
2024-11-08 10:31:00,8.56,8.58,8.58,8.55,8832,7565359.0,8.592
2024-11-08 10:32:00,8.57,8.58,8.58,8.56,1546,1325362.0,8.591
2024-11-08 10:33:00,8.59,8.58,8.59,8.58,752,645479.0,8.591
2024-11-08 10:34:00,8.59,8.57,8.59,8.56,680,583164.0,8.591
2024-11-08 10:35:00,8.57,8.56,8.57,8.56,1038,888899.0,8.591
2024-11-08 10:36:00,8.57,8.54,8.57,8.53,2770,2366971.0,8.59
2024-11-08 10:37:00,8.54,8.54,8.55,8.54,2550,2178037.0,8.589
2024-11-08 10:38:00,8.54,8.54,8.55,8.53,2508,2141578.0,8.589
2024-11-08 10:39:00,8.54,8.54,8.55,8.53,965,824387.0,8.588
2024-11-08 10:40:00,8.54,8.52,8.54,8.52,1830,1560582.0,8.588
2024-11-08 10:41:00,8.52,8.53,8.53,8.52,1659,1413941.0,8.587
2024-11-08 10:42:00,8.53,8.53,8.53,8.52,895,762902.0,8.587
2024-11-08 10:43:00,8.52,8.51,8.53,8.51,3236,2756971.0,8.585
2024-11-08 10:44:00,8.51,8.5,8.52,8.5,2096,1783025.0,8.584
2024-11-08 10:45:00,8.5,8.48,8.51,8.48,2634,2237186.0,8.583
2024-11-08 10:46:00,8.48,8.5,8.5,8.48,4148,3522120.0,8.581
2024-11-08 10:47:00,8.5,8.5,8.5,8.48,1995,1694232.0,8.58
2024-11-08 10:48:00,8.5,8.5,8.52,8.5,1208,1027616.0,8.579
2024-11-08 10:49:00,8.5,8.51,8.51,8.5,724,615633.0,8.579
2024-11-08 10:50:00,8.5,8.49,8.51,8.49,440,374008.0,8.579
2024-11-08 10:51:00,8.49,8.5,8.5,8.49,673,571610.0,8.578
2024-11-08 10:52:00,8.5,8.48,8.5,8.48,1241,1053627.0,8.578
2024-11-08 10:53:00,8.49,8.5,8.5,8.49,673,571323.0,8.577
2024-11-08 10:54:00,8.49,8.51,8.52,8.49,1752,1489835.0,8.577
2024-11-08 10:55:00,8.5,8.5,8.52,8.5,768,653589.0,8.576
2024-11-08 10:56:00,8.5,8.51,8.51,8.5,433,368188.0,8.576
2024-11-08 10:57:00,8.51,8.51,8.52,8.5,503,427962.0,8.576
2024-11-08 10:58:00,8.5,8.51,8.52,8.5,298,253682.0,8.576
2024-11-08 10:59:00,8.51,8.51,8.52,8.5,650,553205.0,8.576
2024-11-08 11:00:00,8.51,8.51,8.52,8.51,352,299782.0,8.576
2024-11-08 11:01:00,8.51,8.52,8.52,8.51,630,536249.0,8.575
2024-11-08 11:02:00,8.52,8.52,8.52,8.51,496,422546.0,8.575
