成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:05,9.09,0.0,2052,1865268,卖盘
09:30:01,9.14,0.05,536,488228,买盘
09:30:04,9.13,-0.01,461,421471,卖盘
09:30:07,9.19,0.06,237,216721,买盘
09:30:10,9.19,0.0,195,179242,卖盘
09:30:13,9.25,0.06,308,283196,买盘
09:30:16,9.29,0.04,163,151273,买盘
09:30:19,9.3,0.01,164,152390,买盘
09:30:22,9.32,0.02,479,444973,买盘
09:30:25,9.33,0.01,113,105447,中性盘
09:30:28,9.35,0.02,556,518987,卖盘
09:30:31,9.32,-0.03,52,48464,中性盘
09:30:34,9.38,0.06,449,418418,买盘
09:30:37,9.29,-0.09,561,524045,卖盘
09:30:40,9.26,-0.03,503,466873,卖盘
09:30:43,9.3,0.04,347,322523,买盘
09:30:46,9.25,-0.05,591,549244,卖盘
09:30:49,9.26,0.01,239,221833,中性盘
09:30:52,9.25,-0.01,219,203093,卖盘
09:30:55,9.25,0.0,237,219932,卖盘
09:30:58,9.25,0.0,201,186141,卖盘
09:31:01,9.28,0.03,223,207121,卖盘
09:31:04,9.29,0.01,290,268911,买盘
09:31:07,9.31,0.02,436,405782,买盘
09:31:10,9.33,0.02,177,164799,买盘
09:31:13,9.35,0.02,251,234266,买盘
09:31:16,9.35,0.0,119,111057,买盘
09:31:19,9.38,0.03,342,320010,买盘
09:31:22,9.35,-0.03,234,219754,卖盘
09:31:25,9.39,0.04,170,159323,买盘
09:31:28,9.38,-0.01,161,151507,卖盘
09:31:31,9.38,0.0,250,234713,卖盘
09:31:34,9.35,-0.03,510,478685,卖盘
09:31:37,9.39,0.04,502,470323,买盘
09:31:40,9.38,-0.01,250,235019,卖盘
09:31:43,9.4,0.02,200,187209,买盘
09:31:46,9.39,-0.01,159,149355,卖盘
09:31:49,9.39,0.0,428,402249,卖盘
09:31:52,9.39,0.0,671,630599,卖盘
09:31:55,9.4,0.01,302,283367,买盘
09:31:58,9.44,0.04,325,306353,买盘
09:32:01,9.41,-0.03,178,167642,中性盘
09:32:04,9.49,0.08,1026,969293,买盘
09:32:07,9.43,-0.06,78,73603,买盘
09:32:10,9.46,0.03,467,443053,买盘
09:32:13,9.48,0.02,86,81281,中性盘
09:32:16,9.5,0.02,195,184985,买盘
09:32:19,9.49,-0.01,142,134838,中性盘
09:32:22,9.5,0.01,203,193025,买盘
09:32:25,9.49,-0.01,470,445908,卖盘
09:32:28,9.46,-0.03,204,193492,卖盘
09:32:31,9.46,0.0,218,206638,卖盘
09:32:34,9.46,0.0,260,246310,卖盘
09:32:37,9.43,-0.03,339,320622,卖盘
09:32:40,9.46,0.03,137,129543,买盘
09:32:43,9.45,-0.01,50,47229,中性盘
09:32:46,9.45,0.0,286,270156,买盘
09:32:49,9.43,-0.02,195,183748,卖盘
09:32:52,9.43,0.0,150,141565,卖盘
09:32:55,9.41,-0.02,354,333714,卖盘
09:32:58,9.45,0.04,187,176493,买盘
09:33:01,9.41,-0.04,199,187583,卖盘
09:33:04,9.45,0.04,528,497309,买盘
09:33:07,9.42,-0.03,115,108601,中性盘
09:33:10,9.44,0.02,299,282329,买盘
09:33:13,9.45,0.01,470,444229,买盘
09:33:16,9.47,0.02,571,541779,买盘
09:33:19,9.47,0.0,12,11364,卖盘
09:33:22,9.49,0.02,115,109133,买盘
09:33:25,9.49,0.0,155,147102,买盘
09:33:28,9.49,0.0,39,37001,卖盘
09:33:31,9.49,0.0,113,107290,买盘
09:33:34,9.48,-0.01,306,290193,卖盘
09:33:37,9.49,0.01,172,163690,买盘
09:33:40,9.47,-0.02,268,254095,卖盘
09:33:43,9.44,-0.03,214,202312,卖盘
09:33:46,9.46,0.02,81,76648,中性盘
09:33:49,9.46,0.0,331,313292,买盘
09:33:52,9.44,-0.02,155,146652,买盘
09:33:55,9.46,0.02,314,296943,买盘
09:33:58,9.46,0.0,108,102187,卖盘
09:34:01,9.45,-0.01,318,300631,卖盘
09:34:04,9.46,0.01,45,42568,买盘
09:34:07,9.43,-0.03,284,268099,卖盘
09:34:10,9.44,0.01,94,88731,买盘
09:34:13,9.43,-0.01,293,276182,卖盘
09:34:16,9.43,0.0,41,38958,卖盘
09:34:19,9.42,-0.01,110,103625,卖盘
